[데이터셋2] 가맹점 월별 이용 정보,,,,,,,
,,,,,,,
 [상세요건],,,,,,,
 - 신한카드 요식업종 서울 성동구 지역 영세/중소 가맹점,,,,,,,
 - 기간 : 2023년 01월 ~ 2024년 12월,,,,,,,
" - 데이터 총 건수 86,590건",,,,,,,
,,,,,,,
,구분,컬럼명,컬럼한글명,타입,NULL,항목 설명,
,1,ENCODED_MCT,가맹점구분번호,VARCHAR,N,,
,2,TA_YM,기준년월,VARCHAR,N,,
,3,MCT_OPE_MS_CN,가맹점 운영개월수 구간,VARCHAR,N,"6개 구간(10%이하, 10-25%, 25-50%, 50-75%, 75-90%, 90%초과) 0%에 가까울 수록 상위 (운영개월 수 상위)",
,4,RC_M1_SAA,매출금액 구간,VARCHAR,N,"6개 구간(10%이하, 10-25%, 25-50%, 50-75%, 75-90%, 90%초과) 0%에 가까울 수록 상위 (매출금액 상위)",
,5,RC_M1_TO_UE_CT,매출건수 구간,VARCHAR,N,"6개 구간(10%이하, 10-25%, 25-50%, 50-75%, 75-90%, 90%초과) 0%에 가까울 수록 상위 (매출건수 상위)",
,6,RC_M1_UE_CUS_CN,유니크 고객 수 구간,VARCHAR,N,"6개 구간(10%이하, 10-25%, 25-50%, 50-75%, 75-90%, 90%초과) 0%에 가까울 수록 상위 (고객 수 상위)",
,7,RC_M1_AV_NP_AT,객단가 구간,VARCHAR,N,"6개 구간(10%이하, 10-25%, 25-50%, 50-75%, 75-90%, 90%초과) 0%에 가까울 수록 상위 (객단가 상위)",
,8,APV_CE_RAT,취소율 구간,VARCHAR,Y,"6개 구간, 1구간에 가까울 수록 상위 (취소율 낮음)",
,9,DLV_SAA_RAT,배달매출금액 비율,NUMBER,N,배달매출 미존재시 SV (-999999.9),
,10,M1_SME_RY_SAA_RAT,동일 업종 매출금액 비율,NUMBER,N,동일 업종 매출 금액 평균 대비 해당 가맹점 매출 금액 비율 (평균과 동일 : 100%),
,11,M1_SME_RY_CNT_RAT,동일 업종 매출건수 비율,NUMBER,N,동일 업종 매출 건수 평균 대비 해당 가맹점 매출 건수 비율 (평균과 동일 : 100%),
,12,M12_SME_RY_SAA_PCE_RT,동일 업종 내 매출 순위 비율,NUMBER,N,업종 내 순위 / 업종 내 전체 가맹점 * 100 (0에 가까울수록 상위),
,13,M12_SME_BZN_SAA_PCE_RT,동일 상권 내 매출 순위 비율,NUMBER,N,상권 내 순위 / 상권 내 전체 가맹점 * 100 (0에 가까울수록 상위),
,14,M12_SME_RY_ME_MCT_RAT,동일 업종 내 해지 가맹점 비중,NUMBER,N,,
,15,M12_SME_BZN_ME_MCT_RAT,동일 상권 내 해지 가맹점 비중,NUMBER,N,상권 미존재시 SV (-999999.9),